OTU ID	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285	KEGG_Pathways
Enzyme Families	43152	13021	36736	24654	51251	72096	33258	56084	46279	12289	28879	18458	72919	188856	40530	10715	23261	28274	3225	36610	6458	18012	31483	34727	18887	99908	7245	11596	30852	52704	31615	30875	120626	16843	10134	138876	58394	85988	78826	110319	69695	23353	25579	43856	4155	109678	18819	20584	53374	26778	Metabolism; Enzyme Families
Excretory System	301	93	35	361	137	582	450	252	779	165	206	27	48	210	52	10	12	5	25	0	73	15	259	43	22	11	56	199	318	1031	148	49	59	5	30	4498	87	56	38	201	199	22	195	478	33	3507	324	146	33	18	Organismal Systems; Excretory System
"Folding, Sorting and Degradation"	45638	13898	31233	25897	40874	87119	40836	62808	57756	15490	31249	18379	75979	189985	42323	11276	22752	28357	3411	36557	7025	18189	33872	34663	18890	105448	7580	11511	33807	59949	33600	31541	126011	17990	10656	163790	63376	85513	79352	115385	72827	23488	27321	46144	3893	129068	22899	21646	54587	26882	"Genetic Information Processing; Folding, Sorting and Degradation"
Genetic Information Processing	50894	16820	36551	32921	48680	80454	37463	64816	50001	13460	35821	22417	91297	223349	47588	13066	28790	34880	3871	46719	8642	19676	39086	44069	24011	118045	8914	12981	35156	57332	36708	38516	142531	19608	12397	141552	69503	109163	98646	114471	80677	28624	33647	53237	4580	111954	21345	24983	66188	33788	Unclassified; Genetic Information Processing
Glycan Biosynthesis and Metabolism	39993	12066	23984	16332	31008	91645	56060	56033	84837	20681	31793	14668	54408	140848	31784	8874	17371	21798	3157	27858	6149	11406	34087	25922	15036	69145	6174	9357	30629	76754	26719	25125	85746	11284	8720	268761	41487	64728	58794	91008	57184	18336	24947	47474	3735	210259	32789	20145	39076	20778	Metabolism; Glycan Biosynthesis and Metabolism
Immune System	1188	117	907	968	1365	2793	1218	1969	1749	453	657	118	2426	6082	1097	209	235	359	95	19	202	735	832	145	92	3267	222	391	1123	2298	1088	542	4482	626	174	6802	2097	192	669	4017	2489	318	517	1346	105	5390	525	348	1066	42	Organismal Systems; Immune System
Immune System Diseases	1208	368	1248	275	1753	2335	923	1922	1389	370	705	540	2317	4775	1449	339	568	842	91	986	131	400	778	909	546	3415	192	406	776	1041	1006	870	3318	632	290	2303	2093	2236	2177	2627	1978	591	483	988	81	1846	639	630	1486	705	Human Diseases; Immune System Diseases
Infectious Diseases	7208	2391	4973	4075	6514	12184	5936	8901	8160	2179	5018	3509	11388	29796	7022	2131	3889	5410	517	6820	1017	2300	10210	6245	3515	15449	1297	2051	5414	8584	4875	5168	18620	2562	1739	22768	9070	15516	13889	17063	11353	3985	4778	13424	597	17965	3682	4230	8842	5050	Human Diseases; Infectious Diseases
Lipid Metabolism	55279	14773	47166	31253	69084	100422	43764	75443	60524	16423	36192	22217	95022	230082	56015	14441	26788	32738	4136	41250	8366	24524	39150	39291	21178	132646	9150	13644	42436	67871	42470	37527	154061	23549	12552	186510	80755	96522	92359	136953	88723	25357	30265	54027	4406	147325	27520	24846	65124	31261	Metabolism; Lipid Metabolism
Membrane Transport	270271	92508	349871	149697	532605	377963	127730	332422	147696	48479	193094	141127	499889	1312489	309083	85337	167772	194839	19117	264276	40651	117636	246432	248965	133034	668323	41289	67266	164431	208968	204276	212731	828344	120088	67960	331631	412042	618972	556712	707702	446185	135150	177063	339764	22635	266181	88685	142665	354819	192982	Environmental Information Processing; Membrane Transport
Metabolic Diseases	2005	667	1229	1062	1453	3385	1934	2482	2596	661	1442	862	3292	8001	1649	510	1120	1322	150	1859	291	740	1151	1737	966	3914	359	487	1479	2499	1324	1514	4588	633	484	6815	2256	4311	3772	4419	2901	1125	1221	1419	158	5366	1016	965	2464	1337	Human Diseases; Metabolic Diseases
Metabolism	44353	11407	42669	25714	63389	87909	35390	66078	48898	13598	28987	16876	83286	207097	50071	12592	18453	24595	3460	26172	7031	17870	46775	26309	14414	117996	7721	13044	33899	59800	37034	28346	142255	21602	9493	163906	74952	62569	65497	119174	73402	18823	26522	68585	4412	129238	24775	21566	48353	20144	Unclassified; Metabolism
Metabolism of Cofactors and Vitamins	80980	25682	58850	47941	82708	146991	67577	107410	98540	25828	59903	29178	126176	354029	64626	16295	39995	49958	5818	63042	14935	32088	58010	60750	31843	184599	13049	21450	62144	104693	58016	53473	233747	31148	18627	277587	111917	149059	138159	200629	134785	40260	53061	76575	7429	219106	41427	37243	97582	46469	Metabolism; Metabolism of Cofactors and Vitamins
Metabolism of Other Amino Acids	28687	9497	21101	16469	28618	49216	25543	35673	36115	9225	21653	13005	44436	117293	26158	7578	15409	18193	2094	25264	4426	10015	24382	23913	12939	57671	4647	7407	20712	36051	18973	20404	69944	9635	6796	97775	34433	59404	52542	79100	44088	15536	18622	33715	2520	76825	17151	15277	33960	18928	Metabolism; Metabolism of Other Amino Acids
Metabolism of Terpenoids and Polyketides	30043	9060	24515	17911	35012	50963	24571	38023	33510	8819	21026	12652	48485	127371	29049	8336	14912	18582	2212	23567	4860	13144	21079	22408	12288	66583	5201	7094	24934	39964	21661	20388	81072	11209	6790	111361	39288	55140	51196	67069	48419	16144	18193	27658	2767	87795	15650	13905	35273	17663	Metabolism; Metabolism of Terpenoids and Polyketides
Nervous System	2258	650	1186	1379	1535	3523	2005	2581	3049	727	1404	847	2939	9054	1655	439	1141	1289	165	1806	264	753	739	1724	898	4046	348	436	1726	3529	1433	1473	5634	635	496	11303	2188	4341	3749	4433	3253	1114	1141	996	170	8859	1217	1006	2550	1352	Organismal Systems; Nervous System
Neurodegenerative Diseases	1776	511	2165	646	3126	4401	1540	3521	1799	586	1323	622	5160	7318	2518	528	718	953	171	996	318	452	2437	991	623	6362	278	587	854	1811	1885	1429	5702	1274	438	4615	4447	2363	2860	3809	2846	659	1305	3391	189	3726	1247	939	1921	852	Human Diseases; Neurodegenerative Diseases
Nucleotide Metabolism	81903	28460	63012	45205	85528	136401	60154	105515	81304	22527	56698	37271	137391	343325	78499	21519	47169	57904	6163	78785	12776	32428	49532	73038	40006	189897	13243	20070	55473	94418	59938	61734	220743	31962	20592	246087	112596	181230	162328	180755	124144	45141	50734	63819	7156	194298	36952	40075	103906	56507	Metabolism; Nucleotide Metabolism
Poorly Characterized	90099	27444	78788	51200	112102	159084	75417	118215	101851	27400	63991	39455	154108	404401	91336	25506	46225	57085	6664	71795	14279	37264	84080	68692	37348	203685	15090	24520	65543	113484	65658	63105	256942	35286	20822	296013	123492	168137	155699	231349	146843	44598	57130	117188	8621	233510	47468	45403	106899	53583	Unclassified; Poorly Characterized
Replication and Repair	174515	57470	123763	101476	161317	307960	133068	238150	182365	50295	119631	78718	308205	747837	172210	45341	99730	121632	13398	163005	27207	71476	102670	152944	82244	431383	29665	43969	120785	200154	132563	132117	494680	72837	44115	486256	255328	378545	344528	408747	267346	96571	106668	136846	15553	383570	75594	82345	226822	117450	Genetic Information Processing; Replication and Repair
Sensory System	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Sensory System
Signal Transduction	26363	6375	31492	19093	54380	41297	18244	31360	27551	6967	18877	9321	38514	109914	24123	6978	10547	13618	1634	13827	4348	11676	37524	14045	7618	54561	4287	8138	20818	30799	17626	13956	72833	9995	4668	71087	33912	33638	34105	107780	47852	9936	16443	53690	2947	56031	13099	13508	24745	11476	Environmental Information Processing; Signal Transduction
Signaling Molecules and Interaction	4892	1977	3304	1654	3600	7210	4895	5691	6551	1616	3131	2747	8267	15299	4011	1248	3542	3763	412	6403	404	1177	2603	5884	3266	9267	781	1131	2683	6024	3139	4615	8060	1274	1422	20374	4416	15033	12496	6597	5407	4117	2818	2701	287	15922	2411	2936	6734	4684	Environmental Information Processing; Signaling Molecules and Interaction
Transcription	57721	14937	58654	40479	90797	99267	37167	78937	50408	14361	36680	22238	106321	274822	60062	14764	27977	34860	4187	40547	9171	26046	43474	39428	20996	150029	8960	15073	41867	59723	45661	38803	183963	26996	12633	128356	92260	96004	94437	151446	96863	24880	32785	62592	4683	101929	21991	25151	69144	29965	Genetic Information Processing; Transcription
Translation	109395	39136	75739	63836	96302	168701	80550	133148	106053	28847	78062	51420	183383	468595	99176	28900	65730	79536	7947	109461	17800	45798	61125	101818	56004	241462	19208	26348	79000	117122	75072	84095	290538	38916	27282	265356	138369	252180	221901	254639	171221	65479	70581	77219	9941	210069	47833	53773	144334	78474	Genetic Information Processing; Translation
Transport and Catabolism	6998	2246	4189	1801	5599	14466	9426	8483	14706	3551	4584	2780	6881	17681	3173	803	4041	3945	525	7128	545	1637	2719	6511	3356	9621	954	959	4013	11516	3915	5055	9184	1300	1756	42815	4391	17045	14022	11094	7992	4138	3177	3231	368	33567	4778	3639	7577	5183	Cellular Processes; Transport and Catabolism
Xenobiotics Biodegradation and Metabolism	30466	9102	33152	20771	52458	46748	22550	36347	30642	8074	20980	13953	48754	136402	29881	8988	16293	19810	2174	25369	5245	11418	27074	24039	13105	63642	6136	7538	22549	35926	21070	21201	81681	10909	6801	91285	37545	59496	54270	52090	49113	14499	18879	37111	3093	72420	12922	14971	37573	19819	Metabolism; Xenobiotics Biodegradation and Metabolism
