	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_1170_2.txt	1170	2	76.0	45.0	52.0	64.0	51.0	23.0	31.0	40.0	48.0	26.0	66.0	55.0	53.0	53.0	39.0	46.0	37.0	46.0	24.0	14.0	23.0	22.0	40.0	32.0	26.0	53.0	36.0	23.0	64.0	109.0	73.0	49.0	69.0	35.0	45.0	20.0	38.0	34.0	44.0	68.0	100.0	47.0	72.0	32.0	38.0	16.0	30.0	42.0	68.0	23.0
alpha_rarefaction_1170_3.txt	1170	3	68.0	44.0	50.0	66.0	52.0	28.0	33.0	43.0	44.0	21.0	66.0	51.0	54.0	62.0	27.0	50.0	36.0	41.0	23.0	17.0	19.0	25.0	37.0	35.0	34.0	50.0	37.0	24.0	70.0	113.0	72.0	50.0	69.0	31.0	44.0	21.0	33.0	35.0	41.0	65.0	103.0	43.0	74.0	35.0	34.0	15.0	34.0	39.0	71.0	26.0
alpha_rarefaction_1170_4.txt	1170	4	66.0	44.0	49.0	63.0	50.0	26.0	29.0	46.0	49.0	22.0	58.0	50.0	60.0	66.0	37.0	49.0	41.0	40.0	22.0	16.0	22.0	22.0	35.0	34.0	28.0	57.0	42.0	17.0	66.0	115.0	66.0	46.0	66.0	30.0	47.0	18.0	36.0	34.0	43.0	71.0	104.0	41.0	70.0	34.0	33.0	13.0	32.0	40.0	66.0	26.0
alpha_rarefaction_1170_5.txt	1170	5	69.0	40.0	47.0	60.0	41.0	29.0	39.0	43.0	48.0	27.0	59.0	49.0	57.0	60.0	33.0	46.0	41.0	38.0	24.0	17.0	22.0	24.0	36.0	33.0	28.0	60.0	35.0	24.0	72.0	109.0	74.0	48.0	69.0	32.0	47.0	18.0	35.0	36.0	44.0	66.0	100.0	44.0	68.0	28.0	34.0	11.0	33.0	35.0	68.0	28.0
alpha_rarefaction_1170_6.txt	1170	6	74.0	41.0	55.0	64.0	37.0	27.0	33.0	41.0	47.0	27.0	64.0	52.0	51.0	61.0	32.0	48.0	35.0	40.0	25.0	18.0	22.0	23.0	38.0	35.0	31.0	60.0	41.0	28.0	65.0	113.0	66.0	53.0	67.0	30.0	49.0	20.0	37.0	35.0	41.0	69.0	104.0	41.0	69.0	30.0	36.0	11.0	33.0	39.0	77.0	21.0
alpha_rarefaction_1170_7.txt	1170	7	68.0	44.0	47.0	63.0	48.0	27.0	32.0	41.0	56.0	27.0	60.0	52.0	57.0	64.0	34.0	50.0	35.0	45.0	26.0	21.0	22.0	22.0	38.0	37.0	27.0	60.0	42.0	29.0	62.0	110.0	72.0	46.0	72.0	31.0	42.0	18.0	31.0	31.0	38.0	74.0	106.0	44.0	71.0	28.0	34.0	15.0	32.0	38.0	74.0	24.0
alpha_rarefaction_1170_8.txt	1170	8	74.0	47.0	51.0	59.0	45.0	29.0	32.0	41.0	47.0	23.0	63.0	49.0	60.0	64.0	33.0	53.0	38.0	40.0	26.0	16.0	21.0	24.0	38.0	32.0	27.0	59.0	43.0	22.0	67.0	120.0	68.0	52.0	69.0	33.0	49.0	21.0	36.0	30.0	41.0	68.0	104.0	38.0	73.0	29.0	36.0	12.0	29.0	38.0	66.0	22.0
alpha_rarefaction_1170_9.txt	1170	9	73.0	44.0	53.0	61.0	43.0	24.0	38.0	48.0	43.0	24.0	60.0	51.0	58.0	64.0	32.0	47.0	39.0	44.0	23.0	15.0	22.0	22.0	40.0	41.0	27.0	59.0	37.0	23.0	67.0	108.0	65.0	51.0	62.0	31.0	47.0	18.0	37.0	38.0	46.0	70.0	97.0	46.0	75.0	30.0	30.0	13.0	38.0	42.0	66.0	25.0
alpha_rarefaction_1750_0.txt	1750	0	73.0	49.0	61.0	79.0	50.0	29.0	40.0	42.0	53.0	28.0	68.0	57.0	68.0	76.0	44.0	52.0	43.0	51.0	25.0	17.0	26.0	26.0	40.0	39.0	35.0	66.0	43.0	29.0	75.0	135.0	81.0	58.0	76.0	39.0	60.0	24.0	41.0	39.0	54.0	83.0	111.0	45.0	77.0	30.0	43.0	16.0	38.0	43.0	84.0	28.0
alpha_rarefaction_1750_1.txt	1750	1	85.0	49.0	55.0	73.0	50.0	31.0	40.0	49.0	58.0	25.0	65.0	55.0	63.0	74.0	44.0	59.0	40.0	49.0	27.0	22.0	27.0	26.0	44.0	42.0	33.0	67.0	40.0	30.0	78.0	136.0	84.0	53.0	76.0	39.0	56.0	24.0	36.0	47.0	50.0	79.0	111.0	47.0	78.0	29.0	42.0	17.0	33.0	43.0	85.0	30.0
