	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_1170_0.txt	1170	0	8.65769	7.32388	8.05742	8.26331	7.05712	4.99005	5.37235	7.19105	5.33911	4.0798	7.86208	8.02986	8.41089	5.5022	5.28776	6.01105	5.75293	5.92312	5.73606	2.61291	4.55561	4.33838	5.59107	5.10376	4.61656	7.96864	7.35748	4.88462	8.31131	11.15708	8.25734	6.71382	7.16549	4.73422	6.9133	5.29084	5.88876	5.34286	6.63184	7.64636	10.18628	6.77318	9.20104	7.09608	6.1201	3.97804	5.73706	6.70044	7.62367	4.36894
alpha_rarefaction_1170_1.txt	1170	1	8.49342	6.64106	8.40588	7.54664	7.19053	4.97228	5.89685	7.2563	6.21202	5.10595	7.55464	7.61528	8.30645	4.85262	6.40333	6.01029	5.47658	6.6648	5.58876	3.10525	4.83378	3.89295	5.10078	5.9997	6.22629	7.74298	7.49545	4.76354	7.67936	11.78244	8.6089	6.87632	7.05045	4.69814	6.5915	5.3982	6.152	5.28395	6.92201	8.16012	9.79842	7.3466	8.40073	6.8967	6.61057	3.48974	6.08702	6.71931	8.04401	5.01789
alpha_rarefaction_1170_2.txt	1170	2	9.45004	6.88285	6.91084	7.66181	7.54991	4.40175	5.8988	6.54099	5.67416	4.58328	7.8694	7.83634	7.71292	5.20025	6.23786	5.78902	5.54438	6.64288	5.70949	2.33566	5.18438	3.57419	5.35125	5.80598	4.82253	6.82338	7.86555	5.18886	7.84089	11.53871	8.98167	6.77152	7.42724	5.11095	7.07774	5.74862	6.08303	5.89947	6.89167	7.87817	9.1521	7.45943	8.58266	6.97943	6.79983	4.9611	6.02502	7.03297	8.54033	4.51753
alpha_rarefaction_1170_3.txt	1170	3	8.66143	6.38703	7.36361	7.10828	7.59779	5.51033	6.1036	6.90414	5.87607	4.51246	7.47817	7.63259	7.94741	4.9215	5.52711	7.29119	5.56701	5.5654	5.01198	3.3493	4.81386	4.75611	5.34306	5.73942	6.15866	6.78923	7.35549	4.71076	8.03511	11.18954	8.73432	6.81915	6.60322	4.14312	5.67228	5.76321	4.63948	5.76534	6.8756	7.39153	9.39778	7.35116	9.13105	7.32721	6.18755	4.13129	6.0208	6.82792	8.46054	4.1881
alpha_rarefaction_1170_4.txt	1170	4	8.64161	6.45583	8.16573	7.56595	8.03918	5.76274	5.6324	7.81289	6.03973	4.77921	6.9169	7.75694	8.55672	6.29361	5.92599	6.21388	5.91751	5.87678	5.23476	3.32737	5.07155	4.46525	5.23324	5.94343	5.12908	8.06307	7.78157	4.56001	8.35407	11.81608	7.90479	6.82407	5.95382	4.69612	6.77067	5.4839	5.67919	5.5932	6.72132	8.11356	9.79635	6.91866	7.92313	6.86034	6.45359	3.82534	6.16489	6.76448	7.3026	5.06876
alpha_rarefaction_1170_5.txt	1170	5	8.30604	6.52897	7.25755	6.88645	6.85378	4.70708	6.70491	7.21353	5.53623	5.26761	7.14032	7.52846	7.86791	5.18212	6.27581	5.93936	5.59529	5.45232	5.16973	3.49776	4.6905	4.52364	5.01188	6.19895	5.4266	7.35906	7.43322	4.62229	8.82035	10.93382	9.42162	6.97882	7.31225	4.79977	6.24994	5.60698	5.11452	6.04166	7.03454	7.36432	9.23166	7.41257	8.64742	5.92994	5.82635	4.17459	6.43313	6.65379	8.47852	5.63528
alpha_rarefaction_1170_6.txt	1170	6	9.38371	6.24065	8.93291	7.09901	6.6126	5.0013	6.09363	7.34507	6.1705	4.98941	7.93009	7.6023	7.472	6.08928	6.0797	5.85799	5.12625	5.93608	5.65009	3.7219	4.76268	4.51881	5.64352	5.89731	5.78291	8.21571	8.03689	5.45479	8.62693	10.56981	8.06445	7.04534	6.82355	4.21313	6.93943	5.71635	5.82897	6.25615	7.72993	7.80378	9.85401	6.67905	8.74593	6.72498	6.6702	3.83954	5.83413	6.80177	8.30741	3.41614
alpha_rarefaction_1170_7.txt	1170	7	9.24101	6.75038	7.11229	7.85716	7.03738	4.98632	5.70642	6.83201	6.63157	5.0495	7.04644	7.71687	8.13651	5.36272	5.9694	6.25358	5.2181	6.13131	5.65783	4.78456	4.99769	3.61669	5.49145	5.97059	3.85214	7.25653	7.74212	5.77967	8.2178	11.78759	8.88168	6.70808	6.86179	4.38954	6.52671	5.39507	5.71429	5.80629	6.64035	8.49309	10.21849	7.16103	9.47953	5.57792	6.09116	4.07015	6.29657	6.92783	8.45563	4.19398
alpha_rarefaction_1170_8.txt	1170	8	9.84294	7.51293	8.12329	7.03849	6.96604	5.66858	5.56072	7.32524	6.33294	4.73113	7.88977	7.4732	7.70247	5.67054	6.226	6.86428	5.64607	5.61448	5.66844	2.27039	4.72816	4.33836	5.16522	5.70926	4.84703	8.0604	7.91459	4.68023	8.50939	11.50996	8.3731	6.77985	6.62923	4.75056	6.36361	5.35696	5.87813	5.4662	7.13277	8.0085	9.74551	7.0398	9.99392	6.53755	6.25283	4.00967	5.69492	6.6898	7.45889	4.40763
alpha_rarefaction_1170_9.txt	1170	9	9.41003	7.05503	8.15971	6.74466	6.59619	4.72135	6.73924	7.24994	6.25341	4.40227	7.10069	7.57633	7.77747	5.3888	5.9666	6.3215	5.78239	6.02481	4.86231	1.95994	4.17836	3.84156	5.73617	6.44631	4.68731	8.08539	7.74315	4.53857	8.47786	11.70697	7.90282	7.15012	6.27306	4.44561	6.91762	5.51751	6.32237	6.00017	7.19481	8.2963	9.64602	7.20397	9.57272	6.57537	5.85896	3.78139	6.93462	7.03082	6.85326	4.48981
